【專題影片字幕校對稿：1984 麥金塔大劫案】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,900] 歡迎來到今天的解析
002. [00:00:02,300 -> 00:00:04,420] 說到現代個人電腦的誕生
003. [00:00:04,760 -> 00:00:06,360] 你腦海裡浮現的是不是
004. [00:00:06,360 -> 00:00:09,320] 那種超無聊的科技歷史課、
005. [00:00:09,700 -> 00:00:12,160] 滿滿的程式碼、沉悶的工程師？
006. [00:00:12,600 -> 00:00:14,700] 拜託，把這些通通忘掉！
007. [00:00:15,100 -> 00:00:16,740] 因為今天我們要聊的
008. [00:00:16,740 -> 00:00:19,480] 根本不是什麼嚴肅的學術發展
009. [00:00:19,860 -> 00:00:22,200] 它更像是一場充滿戲劇性、
010. [00:00:22,560 -> 00:00:24,620] 荒謬感，甚至可以說是一部
011. [00:00:24,620 -> 00:00:28,600] 科技界最精彩絕倫的世紀大劫案！
012. [00:00:28,600 -> 00:00:30,460] 準備好你的爆米花吧
013. [00:00:30,800 -> 00:00:33,780] 因為這個隱藏在矽谷光環背後的秘密
014. [00:00:34,160 -> 00:00:36,520] 絕對會徹底顛覆你的想像！
015. [00:00:37,100 -> 00:00:39,500] 在我們深入挖這段八卦之前
016. [00:00:39,820 -> 00:00:40,980] 我想先問大家一個
017. [00:00:40,980 -> 00:00:43,280] 聽起來超級荒謬的問題：
018. [00:00:43,920 -> 00:00:47,060] 一個從藥妝店買來的體香劑滾珠
019. [00:00:47,500 -> 00:00:48,920] 一個超市的奶油碟
020. [00:00:49,320 -> 00:00:51,360] 再加上一個偷來的點子
021. [00:00:51,660 -> 00:00:53,060] 到底是怎麼拼湊出
022. [00:00:53,060 -> 00:00:56,400] 我們現在每天都在用的現代數位世界呢？
023. [00:00:56,400 -> 00:00:58,540] 聽起來很像在開玩笑，對吧？
024. [00:00:58,920 -> 00:01:01,220] 但這完完全全是歷史真相！
025. [00:01:01,560 -> 00:01:03,960] 我們今天不講那些無聊的企業財報
026. [00:01:04,220 -> 00:01:05,840] 直接帶你直擊這場
027. [00:01:05,840 -> 00:01:08,100] 改變全人類命運的科技搶案
028. [00:01:08,360 -> 00:01:09,940] 看看它到底是怎麼發生的！
029. [00:01:09,940 -> 00:01:12,760] 【第一部分：世紀大劫案】
030. [00:01:13,100 -> 00:01:16,320] 讓我們把時間倒轉回 1979 年
031. [00:01:16,720 -> 00:01:19,280] 來到當時全美國最頂尖、
032. [00:01:19,560 -> 00:01:21,500] 最聰明腦袋的聚集地——
033. [00:01:21,500 -> 00:01:23,940] 全錄帕羅奧圖研究中心
034. [00:01:24,240 -> 00:01:26,880] 也就是大名鼎鼎的 Xerox PARC！
035. [00:01:27,460 -> 00:01:31,520] 當時啊，全錄紐約總部的那些高階主管們
036. [00:01:31,980 -> 00:01:34,540] 每天穿著西裝、打著領帶
037. [00:01:34,780 -> 00:01:36,360] 滿腦子只想著一件事：
038. [00:01:36,680 -> 00:01:38,900] 怎麼賣出更多的影印機！
039. [00:01:38,900 -> 00:01:40,400] 他們壓根兒不知道
040. [00:01:40,700 -> 00:01:42,560] 自己其實正坐在一座
041. [00:01:42,560 -> 00:01:45,380] 足以改變人類歷史的金山上面！
042. [00:01:45,620 -> 00:01:48,660] 接下來這場交易真的不可思議：
043. [00:01:49,260 -> 00:01:51,400] 全錄被當成肥羊
044. [00:01:51,400 -> 00:01:53,060] 花了 100 萬美元
045. [00:01:53,060 -> 00:01:56,240] 買下蘋果上市前的 10 萬股股票
046. [00:01:56,740 -> 00:01:58,060] 他們以為自己做了一筆
047. [00:01:58,060 -> 00:01:59,960] 穩賺不賠的完美投資
048. [00:01:59,960 -> 00:02:02,760] 結果呢，反倒蘋果公司
049. [00:02:03,020 -> 00:02:06,180] 由當時才 24 歲的史蒂夫·賈伯斯帶頭
050. [00:02:06,560 -> 00:02:07,160] 換到了什麼？
051. [00:02:07,720 -> 00:02:09,800] 整整三天，無限制進入
052. [00:02:09,800 -> 00:02:12,320] 全錄 PARC 核心實驗室的權力！
053. [00:02:12,620 -> 00:02:15,920] 天啊，這簡直就是賈伯斯用幾顆不值錢的魔豆
054. [00:02:16,200 -> 00:02:19,320] 換到了開啟未來數位王國的萬能鑰匙！
055. [00:02:19,940 -> 00:02:22,160] 全錄的高層根本毫無頭緒
056. [00:02:22,600 -> 00:02:25,960] 他們放進來的是一匹多麼飢渴的特洛伊木馬！
057. [00:02:25,960 -> 00:02:28,060] 一進到實驗室
058. [00:02:28,680 -> 00:02:30,860] 全錄的研究員超得意地
059. [00:02:30,860 -> 00:02:34,340] 向賈伯斯展示了三大劃時代的技術：
060. [00:02:34,800 -> 00:02:39,440] 乙太網路，還有物件導向程式設計的始祖 Smalltalk
061. [00:02:40,100 -> 00:02:41,200] 結果你猜怎麼著？
062. [00:02:41,800 -> 00:02:45,160] 賈伯斯對這兩個足以震撼世界的發明
063. [00:02:45,160 -> 00:02:47,240] 完全視而不見！
064. [00:02:47,780 -> 00:02:50,440] 他的目光死死盯著第三項：
065. [00:02:51,020 -> 00:02:54,180] 圖形使用者介面，也就是 GUI
066. [00:02:54,180 -> 00:02:55,160] 還有那隻滑鼠！
067. [00:02:55,160 -> 00:02:59,160] 當他親眼看到游標在螢幕上滑來滑去
068. [00:02:59,480 -> 00:03:01,800] 點擊圖示就能打開視窗的時候
069. [00:03:02,240 -> 00:03:03,400] 他簡直快瘋了！
070. [00:03:03,840 -> 00:03:06,140] 他激動地在實驗室裡來回踱步
