【專題影片字幕校對稿：5美分口哨催生了蘋果帝國】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:00,920] 想像一下喔
002. [00:00:01,180 -> 00:00:02,820] 一個本來只應該出現在
003. [00:00:02,820 -> 00:00:04,960] 小孩子早餐麥片盒裡的
004. [00:00:04,960 -> 00:00:06,300] 廉價塑膠玩具
005. [00:00:06,640 -> 00:00:08,080] 最後竟然搞垮了
006. [00:00:08,080 -> 00:00:10,740] 當時全球最大的電信壟斷帝國
007. [00:00:11,220 -> 00:00:13,020] 而且還陰錯陽差地
008. [00:00:13,020 -> 00:00:15,260] 催生了我們現在天天在用的
009. [00:00:15,260 -> 00:00:16,060] 蘋果電腦！
010. [00:00:16,480 -> 00:00:17,920] 這聽起來簡直就像是
011. [00:00:17,920 -> 00:00:19,340] 好萊塢編劇喝醉酒
012. [00:00:19,400 -> 00:00:21,120] 才寫得出來的瘋狂劇本，對吧？
013. [00:00:21,760 -> 00:00:22,540] 但這還真的是
014. [00:00:22,540 -> 00:00:24,280] 千真萬確的科技史實！
015. [00:00:24,280 -> 00:00:25,700] 今天這期解說
016. [00:00:25,960 -> 00:00:27,280] 我們就要帶大家拆解
017. [00:00:27,280 -> 00:00:29,120] 這場史上最不可思議的
018. [00:00:29,120 -> 00:00:30,280] 跨界搶劫案！
019. [00:00:30,840 -> 00:00:33,080] 時間回到 1960 年代
020. [00:00:33,380 -> 00:00:35,520] 當時的美國電話電報公司
021. [00:00:35,780 -> 00:00:38,080] 也就是大家熟知的 AT&T
022. [00:00:38,560 -> 00:00:40,140] 他們旗下的貝爾實驗室
023. [00:00:40,300 -> 00:00:41,620] 可是匯聚了一大票
024. [00:00:41,620 -> 00:00:43,820] 諾貝爾獎得主的神仙殿堂
025. [00:00:44,300 -> 00:00:46,220] 這群絕頂聰明的腦袋
026. [00:00:46,580 -> 00:00:48,340] 聯手打造了當時地表上
027. [00:00:48,340 -> 00:00:50,780] 最龐大也最複雜的機器網路
028. [00:00:50,780 -> 00:00:53,120] 但是，誰能想得到呢？
029. [00:00:53,400 -> 00:00:55,880] 這座由天才們築起的科技堡壘
030. [00:00:56,200 -> 00:00:57,780] 最後竟然敗給了一個
031. [00:00:57,780 -> 00:00:59,420] 價值不到五美分的
032. [00:00:59,420 -> 00:01:00,620] 廉價塑膠口哨！
033. [00:01:01,000 -> 00:01:02,660] 這到底是什麼神展開？
034. [00:01:07,700 -> 00:01:11,020] 為了搞懂這個奇蹟是怎麼發生的
035. [00:01:11,280 -> 00:01:14,540] 我們得先來認識一下當時的 AT&T
036. [00:01:14,980 -> 00:01:16,960] 全美國民眾當時都敬畏地
037. [00:01:16,960 -> 00:01:19,260] 叫這個壟斷巨頭「瑪貝爾」
038. [00:01:19,260 -> 00:01:22,720] 你不知道，這座帝國當時收的過路費
039. [00:01:22,820 -> 00:01:24,400] 那簡直就是在搶劫！
040. [00:01:24,840 -> 00:01:26,940] 你看喔，在 1970 年左右
041. [00:01:27,340 -> 00:01:29,120] 如果你白天想從舊金山
042. [00:01:29,120 -> 00:01:30,720] 打長途電話到紐約
043. [00:01:31,140 -> 00:01:34,380] 每分鐘電話費竟然高達三到四美元
044. [00:01:34,920 -> 00:01:35,460] 換算一下
045. [00:01:35,840 -> 00:01:37,860] 如果你跟遠距離戀愛的另一半
046. [00:01:37,860 -> 00:01:39,280] 講個十分鐘的電話
047. [00:01:39,560 -> 00:01:41,040] 哇，那你半天的薪水
048. [00:01:41,040 -> 00:01:42,020] 就直接蒸發了！
049. [00:01:42,380 -> 00:01:45,380] 打個長途電話簡直跟買奢侈品一樣心痛
050. [00:01:45,380 -> 00:01:47,520] 這也難怪後來會有一群黑客
051. [00:01:47,520 -> 00:01:49,100] 想要來個劫富濟貧了
052. [00:01:49,100 -> 00:01:52,720] 瑪貝爾當時的收費牆
053. [00:01:52,720 -> 00:01:54,720] 築得簡直比天還要高！
054. [00:01:55,140 -> 00:01:57,900] 可是他們那群絕頂聰明的工程師
055. [00:01:57,900 -> 00:02:00,440] 卻為了節省一點點成本
056. [00:02:00,440 -> 00:02:02,980] 犯下了一個極度傲慢的錯誤
057. [00:02:03,280 -> 00:02:05,420] 這個錯誤叫做「帶內信令」
058. [00:02:05,840 -> 00:02:07,000] 用白話文來說
059. [00:02:07,180 -> 00:02:10,680] 就是他們把用來控制交換機的指令音頻
060. [00:02:10,680 -> 00:02:13,000] 跟用戶自己聊天的聲音
061. [00:02:13,000 -> 00:02:16,280] 硬生生塞進了同一條通訊通道裡面
062. [00:02:16,560 -> 00:02:17,860] 這概念就好比什麼？
063. [00:02:18,080 -> 00:02:20,140] 就好比銀行為了省點郵資
064. [00:02:20,140 -> 00:02:21,780] 居然把金庫密碼
065. [00:02:21,780 -> 00:02:23,740] 大剌剌地寫在明信片上
066. [00:02:24,080 -> 00:02:25,780] 然後跟你家的水電費帳單
067. [00:02:25,780 -> 00:02:27,700] 裝在同一個信封裡寄給你
068. [00:02:27,980 -> 00:02:29,540] 這是不是荒唐到了極點？
069. [00:02:30,180 -> 00:02:33,520] 所以啦，最致命的漏洞就出現了
070. [00:02:33,820 -> 00:02:34,920] 在這條通道裡面
071. [00:02:35,280 -> 00:02:38,340] 藏著一個擁有最高特權的神秘密碼
072. [00:02:38,340 -> 00:02:42,240] 也就是所謂的魔法頻率：2600Hz！
073. [00:02:42,780 -> 00:02:45,400] 只要你在電話線路上發出一個
074. [00:02:45,400 -> 00:02:48,460] 剛好是 2600Hz 的純淨音調
075. [00:02:48,980 -> 00:02:51,980] 交換機就會像個聽話的笨蛋一樣
076. [00:02:52,280 -> 00:02:54,400] 以為這通電話已經掛斷了
077. [00:02:54,740 -> 00:02:56,600] 然後立刻停止計費
078. [00:02:57,120 -> 00:02:59,400] 但是呢，線路的實體大門
079. [00:02:59,400 -> 00:03:00,760] 其實根本沒關
080. [00:03:01,160 -> 00:03:02,420] 依然為你敞開
081. [00:03:02,760 -> 00:03:05,800] 隨便你免費打到地球上的任何一個角落
082. [00:03:06,520 -> 00:03:09,340] 【第二部分：麥片口哨的奇蹟】
083. [00:03:09,960 -> 00:03:11,900] 其實 AT&T 一直深信
084. [00:03:12,200 -> 00:03:14,920] 世界上根本沒有人可以單靠嘴巴
085. [00:03:14,920 -> 00:03:17,400] 發出那麼精準的 2600Hz
086. [00:03:18,100 -> 00:03:22,200] 直到有一群自稱電話飛客的地下極客出現
087. [00:03:22,480 -> 00:03:24,260] 才狠狠打了他們的臉！
088. [00:03:24,660 -> 00:03:27,840] 一開始，是一位有絕對音感的全盲神童
089. [00:03:28,180 -> 00:03:30,320] 他真的單靠聲帶吹口哨
090. [00:03:30,320 -> 00:03:32,220] 就能騙過系統退幣
091. [00:03:32,220 -> 00:03:35,260] 但真正把這項黑魔法普及給一般人的
092. [00:03:35,260 -> 00:03:37,200] 是這位約翰·德拉波
093. [00:03:37,540 -> 00:03:39,380] 他發現了一個驚天大秘密
094. [00:03:39,800 -> 00:03:43,700] 原來桂格燕麥有一款卡朋特船長兒童麥片
095. [00:03:44,020 -> 00:03:47,000] 裡面附贈了一個廉價的黃色塑膠口哨
096. [00:03:47,480 -> 00:03:50,260] 只要你拿膠帶貼住口哨上的一個音孔
097. [00:03:50,640 -> 00:03:52,700] 吹出來的聲音頻率不多不少
098. [00:03:53,000 -> 00:03:56,340] 完完全全就是那個神聖的 2600Hz！
099. [00:03:56,960 -> 00:04:00,180] 也就是說，這場科技搶劫案的步驟
100. [00:04:00,180 -> 00:04:02,200] 其實簡單到令人發笑
101. [00:04:02,660 -> 00:04:03,840] 首先第一步
102. [00:04:04,180 -> 00:04:06,700] 撥打免費的 800 號碼建立連線
103. [00:04:07,080 -> 00:04:09,700] 第二步，對著聽筒用力吹響
104. [00:04:09,700 -> 00:04:11,760] 你手上的那個麥片玩具口哨
105. [00:04:12,080 -> 00:04:13,860] 直接騙過計費系統
106. [00:04:14,220 -> 00:04:17,200] 第三步，輸入多頻號碼重新導向
107. [00:04:17,700 -> 00:04:19,320] 然後第四步，恭喜你！
108. [00:04:19,600 -> 00:04:22,860] 你現在已經可以在全球的海底電纜裡面
109. [00:04:22,860 -> 00:04:24,020] 隨便暢遊了
110. [00:04:24,300 -> 00:04:26,600] 想打給誰就打給誰，完全免費！
111. [00:04:27,000 -> 00:04:29,420] 就這樣，一個幾分錢的早餐玩具
