【專題影片字幕校對稿：Flash的興衰史：網頁英雄到傲嬌天后】
說明：依據影視級標準作業程序（SOP）（每行 <= 16 字黃金視線帶、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,340] 歡迎來到今天的單元
002. [00:00:01,620 -> 00:00:03,000] 今天我們要來聊聊一位
003. [00:00:03,000 -> 00:00:04,380] 在數位世界裡
004. [00:00:04,380 -> 00:00:07,180] 真的是無人不知、無人不曉的
005. [00:00:07,180 -> 00:00:08,520] 超級大明星
006. [00:00:09,160 -> 00:00:11,060] 這位巨星明明出身超平凡
007. [00:00:11,600 -> 00:00:13,680] 最後卻憑著一己之力
008. [00:00:13,980 -> 00:00:16,500] 完全統治了整個網際網路
009. [00:00:16,900 -> 00:00:18,180] 不過最戲劇化的是
010. [00:00:18,560 -> 00:00:20,800] 他最後竟然在眾目睽睽之下
011. [00:00:20,800 -> 00:00:22,960] 被蘋果創辦人賈伯斯
012. [00:00:22,960 -> 00:00:25,540] 無情地發了張超級好人卡
013. [00:00:25,880 -> 00:00:27,280] 直接掃地出門
014. [00:00:27,280 -> 00:00:28,120] 沒錯
015. [00:00:28,440 -> 00:00:30,120] 這位讓我們又愛又恨
016. [00:00:30,240 -> 00:00:31,860] 個性有點傲嬌的主角
017. [00:00:32,420 -> 00:00:33,400] 就是 Adobe Flash
018. [00:00:34,080 -> 00:00:35,680] 大家準備好爆米花了嗎
019. [00:00:36,000 -> 00:00:37,540] 我們的好戲要上場囉
020. [00:00:38,120 -> 00:00:38,980] 開始之前
021. [00:00:39,240 -> 00:00:41,680] 大家先閉上眼睛回想一下
022. [00:00:41,940 -> 00:00:42,860] 或者想像一下
023. [00:00:43,400 -> 00:00:44,760] 在 1990 年代中期
024. [00:00:45,020 -> 00:00:46,320] 當你想上網的時候
025. [00:00:46,680 -> 00:00:48,340] 電話線裡是不是會傳來
026. [00:00:48,340 -> 00:00:49,580] 一陣超刺耳的
027. [00:00:50,360 -> 00:00:53,460] 嗶嗶嘰嘰那種交握雜訊
028. [00:00:53,460 -> 00:00:55,380] 那個年代的網路世界
029. [00:00:55,380 -> 00:00:57,360] 跟現在完全不一樣
030. [00:00:57,660 -> 00:00:59,060] 簡直就是一片灰暗
031. [00:00:59,060 -> 00:01:00,640] 又沉悶的文字廢墟
032. [00:01:01,020 -> 00:01:02,120] 大家只能咬著牙
033. [00:01:02,500 -> 00:01:03,340] 死盯著螢幕
034. [00:01:03,620 -> 00:01:05,780] 耐心等一個毫無生氣的網頁
035. [00:01:05,780 -> 00:01:07,620] 像烏龜一樣慢慢爬出來
036. [00:01:08,060 -> 00:01:08,620] 說真的
037. [00:01:08,960 -> 00:01:09,960] 那個年代的網路
038. [00:01:09,960 -> 00:01:12,340] 超級需要一位英雄來拯救
039. [00:01:12,840 -> 00:01:14,600] 好吧 我們來深入聊聊
040. [00:01:14,760 -> 00:01:15,560] 當時的網頁
041. [00:01:15,560 -> 00:01:17,020] 到底為什麼會這麼無聊
042. [00:01:17,020 -> 00:01:19,260] 其實是因為早期的網路
043. [00:01:19,260 -> 00:01:20,680] 被那些又笨重
044. [00:01:20,860 -> 00:01:22,080] 畫質又粗糙的
045. [00:01:22,080 -> 00:01:24,240] JPG 和 GIF 點陣圖
046. [00:01:24,240 -> 00:01:25,420] 給塞得滿滿的
047. [00:01:25,580 -> 00:01:26,160] 你想想看
