【專題影片字幕校對稿：史上最偉大的惡作劇：Gmail 誕生記】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:02,360] 歡迎來到今天的專題解說
002. [00:00:02,580 -> 00:00:04,720] 說真的，我們直接切入正題吧！
003. [00:00:05,100 -> 00:00:06,360] 今天我們要聊一段
004. [00:00:06,780 -> 00:00:09,640] 既搞笑、又超級革命性的科技史。
005. [00:00:09,960 -> 00:00:10,860] 大家想像一下
006. [00:00:11,240 -> 00:00:13,660] 我們現在每天理所當然在用的 Gmail
007. [00:00:14,040 -> 00:00:15,060] 當年推出時
008. [00:00:15,400 -> 00:00:18,280] 居然被全世界當成一場世紀大騙局！
009. [00:00:18,820 -> 00:00:21,300] 我們就帶大家回到 2004 年
010. [00:00:21,640 -> 00:00:24,640] 看看這場宛如科技界終極搶案的發表會
011. [00:00:24,960 -> 00:00:26,440] 到底是怎麼徹底改變整個
012. [00:00:26,540 -> 00:00:27,940] 網際網路面貌的？
013. [00:00:28,560 -> 00:00:31,880] 說實話，如果你當時已經在用網路
014. [00:00:32,160 -> 00:00:34,160] 絕對經歷過這種荒謬的體驗：
015. [00:00:34,640 -> 00:00:36,220] 試著回想一下那個年代
016. [00:00:36,460 -> 00:00:37,540] 我們每到週末
017. [00:00:37,780 -> 00:00:39,780] 居然得乖乖坐在電腦前
018. [00:00:39,780 -> 00:00:41,620] 扮演信件劊子手
019. [00:00:42,060 -> 00:00:44,420] 手起刀落地刪除朋友的問候、
020. [00:00:44,640 -> 00:00:45,460] 珍貴的照片
021. [00:00:45,820 -> 00:00:47,880] 就只為了能收到明天的 Email！
022. [00:00:48,260 -> 00:00:51,520] 現在聽起來簡直像某種數位酷刑，對吧？
023. [00:00:51,980 -> 00:00:54,880] 但這就是早期網路求生的黑色喜劇啊！
024. [00:00:54,880 -> 00:00:55,140] 【第一部分：2MB 儲存地獄】
025. [00:00:55,740 -> 00:00:58,240] 接下來我們進入第一部分：
026. [00:00:58,520 -> 00:01:00,940] 2MB 儲存地獄！
027. [00:01:01,340 -> 00:01:04,020] 當時到底有多慘？這麼說吧：
028. [00:01:04,500 -> 00:01:06,220] 只要你打開網頁信箱
029. [00:01:06,540 -> 00:01:08,640] 最怕的就是迎面而來
030. [00:01:08,640 -> 00:01:12,420] 一排宛如恐怖片般的血紅色警告條：
031. [00:01:12,780 -> 00:01:15,700] 「您的信箱已滿，請立即刪除郵件！」
032. [00:01:15,700 -> 00:01:18,680] 天啊，這真的是 Web 1.0 時代
033. [00:01:18,960 -> 00:01:20,540] 所有人的終極噩夢！
034. [00:01:21,280 -> 00:01:24,020] 我們每天都在上演殘酷的斷捨離
035. [00:01:24,440 -> 00:01:26,060] 無情地把回憶刪掉
