【專題影片字幕校對稿：一個業餘愛好如何征服科技世界】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:00,580] Hi 大家好！
002. [00:00:00,980 -> 00:00:02,180] 今天我們要來聊一個
003. [00:00:02,180 -> 00:00:04,200] 不可思議、甚至可以說
004. [00:00:04,200 -> 00:00:05,420] 是有點荒謬的
005. [00:00:05,420 -> 00:00:07,680] 超級英雄起源故事。
006. [00:00:08,020 -> 00:00:10,440] 這可不是什麼漫威電影的劇本喔！
007. [00:00:10,820 -> 00:00:11,700] 而是關於那個
008. [00:00:11,700 -> 00:00:14,840] 支撐著我們現代數位文明運作的軟體
009. [00:00:15,140 -> 00:00:16,580] 究竟是怎麼從一個
010. [00:00:16,580 -> 00:00:18,700] 窮大學生簡陋的宿舍裡
011. [00:00:19,040 -> 00:00:20,740] 陰錯陽差誕生出來的？
012. [00:00:20,740 -> 00:00:22,260] 你能想像嗎？
013. [00:00:22,660 -> 00:00:24,620] 今天我們故事裡的核心謎團
014. [00:00:24,620 -> 00:00:27,160] 就在於一個窮困潦倒的
015. [00:00:27,160 -> 00:00:28,320] 21 歲大學生
016. [00:00:28,520 -> 00:00:30,920] 憑著自己宣稱的業餘愛好
017. [00:00:31,240 -> 00:00:32,720] 到底是怎麼一不小心
018. [00:00:33,060 -> 00:00:34,020] 就摧毀了一個
019. [00:00:34,020 -> 00:00:36,640] 價值上兆美元的軟體帝國？
020. [00:00:37,040 -> 00:00:38,720] 這簡直是一場史詩級的
021. [00:00:38,720 -> 00:00:40,580] 小蝦米對抗大鯨魚！
022. [00:00:40,820 -> 00:00:42,680] 但最幽默的是什麼，你知道嗎？
023. [00:00:43,060 -> 00:00:44,280] 我們的主角小蝦米
024. [00:00:44,600 -> 00:00:46,240] 一開始根本沒意識到
025. [00:00:46,240 -> 00:00:47,980] 自己已經走上擂台了！
026. [00:00:48,520 -> 00:00:51,320] 【第一部分：黑暗時代與無頭騎士】
027. [00:00:52,040 -> 00:00:54,580] 為了理解這場勝利到底有多震撼
028. [00:00:54,840 -> 00:00:56,500] 我們得先把時間倒轉
029. [00:00:56,820 -> 00:00:58,300] 回到 1990 年左右
030. [00:00:58,300 -> 00:00:59,220] 那個充滿限制
031. [00:00:59,700 -> 00:01:01,600] 而且東西都超級昂貴的年代。
032. [00:01:02,180 -> 00:01:03,820] 當時軟體圈的現狀
033. [00:01:03,820 -> 00:01:05,500] 真的是讓人蠻崩潰的。
034. [00:01:05,880 -> 00:01:08,300] 你看，最厲害的商業 UNIX 系統
035. [00:01:08,640 -> 00:01:10,980] 授權費動不動就高達數萬美元
036. [00:01:11,320 -> 00:01:12,820] 普通人哪裡玩得起啊？
037. [00:01:12,820 -> 00:01:15,160] 而學術界的 Minix 雖然可以用
038. [00:01:15,480 -> 00:01:17,160] 但被教授嚴格鎖死
039. [00:01:17,160 -> 00:01:18,880] 完全不給你擴充的空間。
040. [00:01:19,120 -> 00:01:20,880] 另外還有充滿理想的
041. [00:01:20,880 -> 00:01:22,960] GNU 自由軟體運動
042. [00:01:23,240 -> 00:01:24,540] 他們雖然工具齊全
043. [00:01:24,780 -> 00:01:26,860] 卻偏偏缺了一個能運作的核心。
044. [00:01:27,180 -> 00:01:29,720] 這就像是一個練了滿身肌肉的巨人
045. [00:01:30,100 -> 00:01:32,500] 唯獨少了一顆能跳動的心臟一樣！
046. [00:01:32,820 -> 00:01:34,520] 全世界的電腦怪傑們
047. [00:01:34,520 -> 00:01:36,300] 都在苦苦等待那一顆
048. [00:01:36,300 -> 00:01:37,900] 能點燃一切的火種。
049. [00:01:37,900 -> 00:01:38,080] 【第二部分：意外的誕生】
050. [00:01:38,600 -> 00:01:41,420] 這就來到了我們的第二部分：
051. [00:01:41,680 -> 00:01:43,000] 意外的誕生。
052. [00:01:43,380 -> 00:01:46,840] 現在我們把鏡頭切換到 1991 年
053. [00:01:46,840 -> 00:01:48,060] 芬蘭的赫爾辛基。
054. [00:01:48,760 -> 00:01:50,840] 在漫長刺骨的冬夜裡
055. [00:01:51,200 -> 00:01:54,040] 一位名叫 Linus 的破產大學生
056. [00:01:54,380 -> 00:01:55,780] 正準備要改變世界！
057. [00:01:56,520 -> 00:01:59,180] 其實沒有，他根本沒想改變世界
058. [00:01:59,480 -> 00:02:01,680] 他單純只是想玩他的新玩具而已。
059. [00:02:02,240 -> 00:02:03,360] 一切的開端
060. [00:02:03,640 -> 00:02:05,640] 真的就是源自於硬體的誘惑。
061. [00:02:06,120 -> 00:02:08,960] Linus 當時砸下了他所有的積蓄
062. [00:02:09,300 -> 00:02:11,020] 整整 3,500 美元
063. [00:02:11,020 -> 00:02:13,380] 買了一台 Intel 386 電腦。
064. [00:02:13,800 -> 00:02:15,420] 這個晶片在當時
065. [00:02:15,420 -> 00:02:17,280] 可是跨時代的神器：
066. [00:02:17,520 -> 00:02:20,520] 32 位元架構、記憶體分頁管理
067. [00:02:20,520 -> 00:02:22,920] 還能真正做到多工作業！
068. [00:02:23,380 -> 00:02:24,500] 但悲劇的是
069. [00:02:24,800 -> 00:02:26,880] 當時市面上的 MS-DOS 軟體
070. [00:02:26,880 -> 00:02:28,700] 根本發揮不了它的實力
071. [00:02:29,020 -> 00:02:30,820] 這簡直是暴殄天物嘛！
072. [00:02:30,820 -> 00:02:33,560] 為了榨乾這台寶貝機器的極限
073. [00:02:33,920 -> 00:02:35,980] 也為了能撥號上網看新聞
074. [00:02:36,440 -> 00:02:38,460] Linus 決定自己動手寫一個
075. [00:02:38,460 -> 00:02:40,340] 簡單的終端機模擬器。
076. [00:02:40,660 -> 00:02:43,400] 沒錯，這個改變人類歷史的起點
077. [00:02:43,620 -> 00:02:45,660] 真的只是為了一台新電腦
078. [00:02:45,780 -> 00:02:46,880] 還有可以上網看廢文！
079. [00:02:47,360 -> 00:02:49,740] 就在 1991 年的 8 月
080. [00:02:50,140 -> 00:02:51,660] Linus 在網路上發布了
081. [00:02:51,660 -> 00:02:53,240] 這篇後來被稱為
082. [00:02:53,240 -> 00:02:54,860] 「開源獨立宣言」的貼文。
083. [00:02:55,380 -> 00:02:57,180] 他當時非常靦腆
084. [00:02:57,360 -> 00:02:59,320] 甚至帶點自嘲地寫道：
085. [00:02:59,600 -> 00:03:01,740] 「我正在做一個免費的作業系統
086. [00:03:01,960 -> 00:03:03,200] 純粹是業餘愛好
087. [00:03:03,500 -> 00:03:05,160] 不會像 GNU 那樣
088. [00:03:05,160 -> 00:03:06,560] 搞得又大又專業……」
089. [00:03:07,040 -> 00:03:07,940] 他甚至承認
090. [00:03:07,940 -> 00:03:10,360] 這個系統只能在特定的硬碟上跑
091. [00:03:10,700 -> 00:03:13,360] 因為他窮到只買得起那種硬碟！
092. [00:03:13,780 -> 00:03:15,000] 這句話現在聽起來
093. [00:03:15,000 -> 00:03:17,200] 真的是充滿了戲劇性的諷刺
094. [00:03:17,520 -> 00:03:20,640] 因為他口中這個不會變大的業餘愛好
095. [00:03:21,000 -> 00:03:23,260] 馬上就要引起一場超級大地震了！
096. [00:03:23,260 -> 00:03:23,480] 【第三部分：學院派的毒打】
097. [00:03:23,920 -> 00:03:26,000] 接著進入第三部分：
098. [00:03:26,320 -> 00:03:27,500] 學院派的毒打！
099. [00:03:27,740 -> 00:03:30,400] 你懂的，當一個初出茅廬的小伙子
100. [00:03:30,400 -> 00:03:32,280] 跑出來打破既有規矩
101. [00:03:32,580 -> 00:03:33,780] 學術界的精英們
102. [00:03:33,780 -> 00:03:35,980] 怎麼可能乖乖坐視不管？
103. [00:03:36,440 -> 00:03:37,880] 這立刻就引發了一場
104. [00:03:37,880 -> 00:03:39,720] 傳奇的網路大論戰！
105. [00:03:40,420 -> 00:03:41,960] 「Linux 已經過時了！」
106. [00:03:42,300 -> 00:03:43,800] 在 1992 年初
107. [00:03:44,120 -> 00:03:45,240] Minix 的創始人
