【專題影片字幕校對稿：科技大劫案：故障機如何摧毀諾基亞】
說明：依據影視級標準作業程序（SOP）（每行 <= 16 字黃金視線帶、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,720] 各位 歡迎來到今天的解密
002. [00:00:02,060 -> 00:00:02,900] 大家想像一下
003. [00:00:03,140 -> 00:00:05,160] 如果有一場極度混亂
004. [00:00:05,340 -> 00:00:07,400] 差一點點就要徹底搞砸的
005. [00:00:07,400 -> 00:00:08,360] 產品發表會
006. [00:00:08,760 -> 00:00:11,000] 最後竟然不小心改變了全世界
007. [00:00:11,420 -> 00:00:12,780] 這聽起來是不是很瘋狂
008. [00:00:13,340 -> 00:00:14,720] 這就是我們今天的主題
009. [00:00:14,980 -> 00:00:16,200] 《科技大劫案》
010. [00:00:16,500 -> 00:00:18,080] 一台故障機到底是怎麼
011. [00:00:18,080 -> 00:00:20,140] 摧毀掉當時如日中天的
012. [00:00:20,140 -> 00:00:21,060] 諾基亞帝國
013. [00:00:21,600 -> 00:00:22,800] 今天我們要帶大家
014. [00:00:22,800 -> 00:00:24,880] 時光倒流回 2007 年
015. [00:00:24,880 -> 00:00:27,500] 揭開這段充滿著傲慢、恐慌
016. [00:00:27,740 -> 00:00:29,840] 甚至可以說是靠著工程師
017. [00:00:29,840 -> 00:00:31,820] 猛灌酒精才撐過來的
018. [00:00:31,820 -> 00:00:32,760] 世紀大逆轉
019. [00:00:33,320 -> 00:00:33,900] 說實話
020. [00:00:34,080 -> 00:00:35,160] 如果我現在告訴你
021. [00:00:35,500 -> 00:00:36,820] 那場震驚全球
022. [00:00:36,820 -> 00:00:38,180] 被封為神作的
023. [00:00:38,180 -> 00:00:39,440] 初代 iPhone 發表會
024. [00:00:39,740 -> 00:00:42,200] 根本不是什麼完美的產品亮相
025. [00:00:42,480 -> 00:00:45,000] 而是一場宛如定時炸彈般的
026. [00:00:45,000 -> 00:00:47,300] 驚天大騙局 你會相信嗎
027. [00:00:47,700 -> 00:00:49,000] 賈伯斯當時在台上
028. [00:00:49,000 -> 00:00:50,240] 拿著的那一支手機
029. [00:00:50,520 -> 00:00:52,600] 其實是一台連線隨時會斷
030. [00:00:52,600 -> 00:00:53,720] 螢幕會黑
031. [00:00:54,000 -> 00:00:56,260] 動不動就準備當機的半成品
032. [00:00:56,540 -> 00:00:58,380] 它到底是怎麼瞞天過海
033. [00:00:58,600 -> 00:00:59,900] 騙過全世界的
034. [00:01:00,300 -> 00:01:01,460] 為了讓大家體會
035. [00:01:01,460 -> 00:01:03,660] 這場劫案到底有多不可思議
036. [00:01:04,020 -> 00:01:05,820] 我們得先回到 2006 年
037. [00:01:06,140 -> 00:01:08,140] 那個由諾基亞和黑莓機
038. [00:01:08,140 -> 00:01:09,560] 稱霸天下的年代
039. [00:01:09,900 -> 00:01:10,470] 說真的
040. [00:01:10,520 -> 00:01:11,780] 當時的手機設計界
041. [00:01:11,780 -> 00:01:14,440] 完全陷入了一種令人窒息的狀態
042. [00:01:14,860 -> 00:01:16,860] 所有人對實體塑膠按鍵
043. [00:01:16,860 -> 00:01:18,640] 都有著一種病態的崇拜
044. [00:01:19,200 -> 00:01:21,440] 大家回想一下 當時的設計
045. [00:01:21,820 -> 00:01:24,180] 現在看來真的會讓人哭笑不得
046. [00:01:24,720 -> 00:01:26,160] 不管你是要看照片
047. [00:01:26,380 -> 00:01:27,940] 上網 還是聽音樂
048. [00:01:28,360 -> 00:01:29,840] 你手機的下半部
049. [00:01:30,120 -> 00:01:31,820] 永遠被那 40 顆
050. [00:01:31,820 -> 00:01:35,220] 毫無彈性的塑膠按鍵死死霸佔著
051. [00:01:35,780 -> 00:01:38,200] 螢幕只能委屈在上面
052. [00:01:38,200 -> 00:01:41,560] 只有 2.2 吋的可憐小方塊裡
053. [00:01:41,960 -> 00:01:43,660] 能上的網路也是那種
054. [00:01:43,660 -> 00:01:46,460] 經過重重閹割的純文字連結
055. [00:01:46,460 -> 00:01:48,460] 這感覺根本就像是
056. [00:01:48,460 -> 00:01:51,580] 被塑膠鎖鏈銬住的數位監獄啊
057. [00:01:51,700 -> 00:01:53,540] 就在這些傳統巨頭
058. [00:01:53,540 -> 00:01:55,660] 還在瘋狂慶祝銷量的時候
059. [00:01:56,000 -> 00:01:56,960] 蘋果總部的賈伯斯
060. [00:01:56,960 -> 00:01:59,640] 卻正陷入深深的生存焦慮
061. [00:02:00,020 -> 00:02:01,580] 為什麼呢 因為他很怕
062. [00:02:01,940 -> 00:02:03,700] 一旦有人把音樂播放功能
063. [00:02:03,700 -> 00:02:04,660] 整合進手機
064. [00:02:04,920 -> 00:02:06,240] 蘋果的金雞母 iPod
065. [00:02:06,240 -> 00:02:08,480] 就絕對會死路一條
066. [00:02:08,480 -> 00:02:10,440] 在經歷了一次跟摩托羅拉合作的
067. [00:02:10,440 -> 00:02:11,840] 災難級慘劇之後
068. [00:02:12,120 -> 00:02:14,360] 氣炸的賈伯斯直接拍板決定
