【專題影片字幕校對稿：穿皮衣的鳳凰：NVIDIA 的意外帝國】
說明：依據影視級標準作業程序（SOP）（每行 <= 16 字黃金視線帶、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:02,020] 歡迎來到這份資料的深度解析
002. [00:00:02,340 -> 00:00:04,020] 今天我們要來聊的這個故事
003. [00:00:04,260 -> 00:00:05,540] 真的是瘋狂到
004. [00:00:05,540 -> 00:00:07,680] 連好萊塢編劇都不敢這麼寫
005. [00:00:08,200 -> 00:00:08,760] 你知道嗎
006. [00:00:09,040 -> 00:00:10,760] 目前世界上最核心
007. [00:00:10,760 -> 00:00:13,440] 掌控全人類科技命脈的公司
008. [00:00:13,760 -> 00:00:15,660] 竟然是在一家油膩膩
009. [00:00:15,960 -> 00:00:19,000] 賣著便宜鬆餅的美式連鎖餐廳裡
010. [00:00:19,000 -> 00:00:19,600] 誕生出來的
011. [00:00:20,000 -> 00:00:21,180] 對 你沒聽錯
012. [00:00:21,180 -> 00:00:22,780] 就是這麼不可思議
013. [00:00:23,200 -> 00:00:25,200] 讓我們先把時間拉回現在
014. [00:00:25,680 -> 00:00:27,380] 看看這個誇張的數字
015. [00:00:27,780 -> 00:00:28,720] 三兆美元
016. [00:00:29,200 -> 00:00:30,500] 這是 NVIDIA
017. [00:00:30,700 -> 00:00:32,460] 近期創下的驚人市值
018. [00:00:32,800 -> 00:00:35,320] 這不但確立了他們神一般的地位
019. [00:00:35,760 -> 00:00:36,680] 更代表著他們
020. [00:00:36,680 -> 00:00:38,900] 在當今 AI 發展賽道上
021. [00:00:39,040 -> 00:00:40,640] 握有絕對的壟斷權
022. [00:00:41,240 -> 00:00:43,120] 你現在看到各大科技巨頭
023. [00:00:43,480 -> 00:00:46,460] 幾乎都是捧著幾百億美金排隊
024. [00:00:46,760 -> 00:00:49,460] 只為了能多搶到幾台伺服器
025. [00:00:49,980 -> 00:00:51,520] 這個數字真的是大到
026. [00:00:51,760 -> 00:00:53,800] 黃仁勳大概可以把全美國的
027. [00:00:53,800 -> 00:00:55,420] Denny's 餐廳都買下來
028. [00:00:55,720 -> 00:00:57,780] 全部改成他的伺服器機房了
029. [00:00:58,260 -> 00:00:59,960] 不過先記住這個光芒
030. [00:01:00,620 -> 00:01:02,660] 因為接下來的反差
031. [00:01:02,880 -> 00:01:04,700] 絕對會讓你掉下巴
032. [00:01:04,880 -> 00:01:06,100] 等等 畫面一轉
033. [00:01:06,480 -> 00:01:09,480] 你能想像那位永遠穿著黑皮衣
034. [00:01:09,840 -> 00:01:11,860] 走路帶風 身價破兆
035. [00:01:12,040 -> 00:01:13,460] 的科技教父黃仁勳
036. [00:01:13,800 -> 00:01:15,280] 在 1993 年的時候
037. [00:01:15,660 -> 00:01:16,400] 其實是個
038. [00:01:16,400 -> 00:01:18,080] 在 Denny's 連鎖餐廳
039. [00:01:18,280 -> 00:01:20,340] 洗廁所端盤子的打工仔
040. [00:01:21,060 -> 00:01:21,980] 更誇張的是
041. [00:01:22,280 -> 00:01:23,380] 那家餐廳的玻璃上
042. [00:01:23,520 -> 00:01:25,720] 甚至還留著子彈打過的痕跡
043. [00:01:26,180 -> 00:01:27,620] 在這麼混亂的環境下
044. [00:01:27,880 -> 00:01:29,880] 居然把這段底層打滾的經歷
045. [00:01:29,880 -> 00:01:32,700] 心底稱為他最好的管理學課堂
046. [00:01:33,260 -> 00:01:34,040] 不過你還別說
047. [00:01:34,340 -> 00:01:35,740] 這種在極度混亂中
048. [00:01:35,820 -> 00:01:37,220] 保持冷靜的超能力
049. [00:01:37,340 -> 00:01:38,700] 很快就派上用場了
050. [00:01:39,140 -> 00:01:39,600] 第一幕
051. [00:01:39,780 -> 00:01:41,020] 兆元帝國的起點
052. [00:01:41,260 -> 00:01:42,740] 加州 Denny's 餐廳
053. [00:01:43,120 -> 00:01:44,140] 三個大男人
054. [00:01:44,440 -> 00:01:45,900] 連張像樣的紙都沒有
055. [00:01:46,200 -> 00:01:48,200] 就這樣擠在人造皮沙發上
056. [00:01:48,540 -> 00:01:50,680] 拿著沾著咖啡漬的餐巾紙
057. [00:01:50,920 -> 00:01:53,260] 畫出了這家偉大公司的開端
058. [00:01:53,980 -> 00:01:54,960] 接著是第二幕
059. [00:01:55,220 -> 00:01:56,020] 破產危機
060. [00:01:56,580 -> 00:01:58,840] 押錯底層數學的 NV1
061. [00:01:59,620 -> 00:02:01,440] 如果你以為這是什麼天才創業
062. [00:02:01,440 -> 00:02:02,660] 一路開掛的故事
063. [00:02:02,720 -> 00:02:04,260] 那你就大錯特錯了
064. [00:02:04,660 -> 00:02:05,980] 他們推出的第一款晶片
065. [00:02:06,240 -> 00:02:07,680] 就直接犯下了一個差點
066. [00:02:07,760 -> 00:02:09,780] 讓公司倒閉的致命失誤
067. [00:02:10,060 -> 00:02:12,220] 他們完全無視了當時業界標準
068. [00:02:12,660 -> 00:02:15,100] 當時業界大家都乖乖用三角形
069. [00:02:15,220 -> 00:02:16,480] 來拼湊 3D 畫面
070. [00:02:16,760 -> 00:02:18,200] 但 NVIDIA 偏不要
071. [00:02:18,560 -> 00:02:19,380] 他們標新立異
072. [00:02:19,800 -> 00:02:21,960] 選了一個超冷門的二次曲面
073. [00:02:22,300 -> 00:02:24,340] 好啦 數學聽起來是很性感
074. [00:02:24,920 -> 00:02:26,660] 但現實真的超級骨感
075. [00:02:26,900 -> 00:02:29,000] 這東西根本畫不出尖銳稜角
076. [00:02:29,500 -> 00:02:31,340] 用它做出來的遊戲畫面
077. [00:02:31,340 -> 00:02:33,140] 裡面的槍看起來就像熱狗一樣
078. [00:02:33,320 -> 00:02:34,720] 圓潤 超級滑稽
079. [00:02:35,140 -> 00:02:36,680] 所以當微軟隨後發布了
080. [00:02:36,680 -> 00:02:38,480] 擁抱三角形標準的
081. [00:02:38,480 -> 00:02:39,620] DirectX 時
082. [00:02:40,000 -> 00:02:41,180] 這顆昂貴的晶片
083. [00:02:41,400 -> 00:02:44,020] 瞬間就變成了沒人要的垃圾
084. [00:02:44,620 -> 00:02:46,900] 結果想當然 銷量慘不忍睹
085. [00:02:47,300 -> 00:02:49,400] 公司的現金流徹底枯竭
086. [00:02:49,880 -> 00:02:51,300] 他們被迫大裁員
087. [00:02:51,620 -> 00:02:53,000] 原本上百人的團隊
