================================================================================
影片字幕校對稿：《荒謬的軍火代碼案：駭客如何戰勝政府》
================================================================================

總區塊數：210 句
總時長覆蓋：00:00:00,000 -> 00:11:42,400
分行規範：嚴格控制於 8~16 字黃金視覺區間，全繁體中文（台灣習慣用語）
專有名詞精準校對：ITAR、PGP、RSA、Diffie-Hellman、Cypherpunks、Hashcash、B-money、Satoshi Nakamoto、Hal Finney 等

--------------------------------------------------------------------------------

001. [00:00:00,000 -> 00:00:02,080] (09字) 歡迎來到今天的解析
002. [00:00:02,080 -> 00:00:04,640] (11字) 說真的，今天要聊的故事
003. [00:00:04,640 -> 00:00:07,100] (09字) 簡直是科技史上最扯
004. [00:00:07,100 -> 00:00:09,400] (10字) 但也最搞笑的一段歷史
005. [00:00:09,400 -> 00:00:11,600] (09字) 你想想看，一群身上
006. [00:00:11,600 -> 00:00:13,880] (11字) 只帶數學公式的電腦阿宅
007. [00:00:13,880 -> 00:00:17,480] (12字) 到底要怎麼單挑美國軍方？
008. [00:00:17,480 -> 00:00:20,240] (10字) 而且最後竟然還贏了？
009. [00:00:20,240 -> 00:00:24,200] (12字) 這聽起來像好萊塢搞笑劇本
010. [00:00:24,200 -> 00:00:27,160] (12字) 但這可是百分百的真人真事
011. [00:00:27,160 -> 00:00:28,800] (09字) 我們直接進入正題吧
012. [00:00:28,800 -> 00:00:31,800] (10字) 你先在腦海裡想像一下
013. [00:00:31,800 -> 00:00:34,500] (10字) 這個極度荒謬的畫面哦
014. [00:00:34,500 -> 00:00:37,800] (10字) 一邊是一台能突破音障
015. [00:00:37,800 -> 00:00:41,200] (13字) 武力點滿的 F-16 戰機
016. [00:00:41,200 -> 00:00:44,200] (13字) 另一邊呢，是件黑色 T 恤
017. [00:00:44,200 -> 00:00:47,800] (14字) 只印了三行 Perl 程式碼
018. [00:00:47,800 -> 00:00:50,800] (13字) 但在 1990 年代的時候
019. [00:00:50,800 -> 00:00:54,200] (12字) 美國政府對加密技術這玩意
020. [00:00:54,200 -> 00:00:57,000] (08字) 簡直是怕到了極點
021. [00:00:57,000 -> 00:01:00,500] (10字) 冷戰剛結束的官僚眼裡
022. [00:01:00,500 -> 00:01:03,800] (11字) 這件窄到不行的 T 恤
023. [00:01:03,800 -> 00:01:06,800] (10字) 危險程度居然跟戰鬥機
024. [00:01:06,800 -> 00:01:09,800] (10字) 甚至是核彈頭一模一樣
025. [00:01:09,800 -> 00:01:12,800] (10字) 被美國政府直接塞進了
026. [00:01:12,800 -> 00:01:15,000] (10字) 第一級軍火物資清單裡
027. [00:01:15,000 -> 00:01:18,120] (12字) 如果你以為這只是黑色幽默
028. [00:01:18,120 -> 00:01:19,960] (08字) 那可就大錯特錯了
029. [00:01:19,960 -> 00:01:22,760] (12字) 這代表如果你今天好死不死
030. [00:01:22,760 -> 00:01:25,040] (13字) 穿著這件 T 恤過機場海關
031. [00:01:25,040 -> 00:01:28,120] (11字) 還沒跟國務院申請許可證
032. [00:01:28,120 -> 00:01:29,880] (07字) 武器出口許可證
033. [00:01:29,880 -> 00:01:30,960] (05字) 哇，恭喜你
034. [00:01:30,960 -> 00:01:34,480] (12字) 你當下就在犯走私軍火重罪
035. [00:01:34,480 -> 00:01:37,280] (12字) 聯邦調查局真的能當場銬你
036. [00:01:37,280 -> 00:01:40,840] (11字) 把你丟進監獄關整整十年
037. [00:01:40,840 -> 00:01:41,960] (07字) 你可以想像一下
038. [00:01:41,960 -> 00:01:44,200] (11字) 海關人員死盯著你的衣服
039. [00:01:44,200 -> 00:01:47,000] (10字) 手按在槍套上猶豫不決
040. [00:01:47,000 -> 00:01:50,200] (12字) 到底要拔槍還是叫防爆小組
041. [00:01:50,200 -> 00:01:52,500] (11字) 這畫面是不是超級魔幻？
042. [00:01:52,500 -> 00:01:55,120] (12字) 那你好奇，政府在怕什麼？
043. [00:01:55,120 -> 00:01:58,800] (10字) 要懂這個，得先回頭看
044. [00:01:58,800 -> 00:02:02,920] (11字) 卡了人類三千年的老問題
045. [00:02:02,920 -> 00:02:05,040] (10字) 叫做《信使囚徒困境》
046. [00:02:05,040 -> 00:02:08,200] (11字) 簡單來說，想給遠方朋友
047. [00:02:08,200 -> 00:02:11,000] (10字) 送一封極度機密的信件
048. [00:02:11,000 -> 00:02:15,000] (12字) 兩邊必須有同一把鑰匙解鎖
049. [00:02:15,000 -> 00:02:19,000] (12字) 但你要怎麼把鑰匙給對方？
050. [00:02:19,000 -> 00:02:22,680] (12字) 要是信使在半路被間諜抓了
051. [00:02:22,680 -> 00:02:25,800] (12字) 那秘密就瞬間大白於天下了
052. [00:02:25,800 -> 00:02:28,600] (12字) 三千年來，全世界密碼學家
053. [00:02:28,600 -> 00:02:31,960] (11字) 幾乎都卡在這個死胡同裡
054. [00:02:31,960 -> 00:02:34,800] (13字) 好加在，到了 1976 年
055. [00:02:34,800 -> 00:02:37,500] (11字) 幾位數學天才終於破局了
056. [00:02:37,500 -> 00:02:40,800] (10字) 發明了《非對稱加密》
057. [00:02:40,800 -> 00:02:43,360] (11字) 與其冒險把鑰匙送來送去
058. [00:02:43,360 -> 00:02:46,500] (11字) 這群數學巫師想出了外掛
059. [00:02:46,500 -> 00:02:49,500] (12字) 乾脆直接做兩把不同的鑰匙
060. [00:02:49,500 -> 00:02:52,500] (13字) 一把叫《公鑰》，像公開掛鎖
061. [00:02:52,500 -> 00:02:55,500] (13字) 你可以隨便發給全世界任何人
062. [00:02:55,500 -> 00:02:58,500] (09字) 但另一把叫《私鑰》
063. [00:02:58,500 -> 00:03:01,500] (11字) 全地球就只有你一人持有
064. [00:03:01,500 -> 00:03:04,800] (12字) 別人用公開掛鎖把信鎖上後
065. [00:03:04,800 -> 00:03:07,800] (10字) 除了你手上的私鑰能開
066. [00:03:07,800 -> 00:03:11,000] (11字) 就連寄信人自己也打不開
067. [00:03:11,000 -> 00:03:14,500] (11字) 這簡直像普羅米修斯盜火
068. [00:03:14,500 -> 00:03:18,500] (11字) 把情報機構的保密超能力
069. [00:03:18,500 -> 00:03:21,800] (11字) 統統下放給了普通老百姓
070. [00:03:21,800 -> 00:03:25,500] (13字) 到了 1991 年，有一位
071. [00:03:25,500 -> 00:03:29,860] (09字) 叫齊默爾曼的工程師
072. [00:03:29,860 -> 00:03:33,000] (11字) 為了對抗政府大規模監聽
073. [00:03:33,000 -> 00:03:36,500] (11字) 把軍規技術寫成免費軟體
074. [00:03:36,500 -> 00:03:39,500] (12字) 也就是大名鼎鼎的 PGP
075. [00:03:39,500 -> 00:03:42,800] (11字) 直接丟到網路上給大家用
076. [00:03:42,800 -> 00:03:46,500] (11字) 結果美國政府氣到快瘋了
077. [00:03:46,500 -> 00:03:50,500] (10字) 立刻展開三年刑事調查
078. [00:03:50,500 -> 00:03:54,000] (11字) 罪名是「國際軍火走私」
079. [00:03:54,000 -> 00:03:57,500] (11字) 面對國家機器的無情追殺
080. [00:03:57,500 -> 00:04:01,000] (12字) 齊默爾曼和擁護者們沒在怕
081. [00:04:01,000 -> 00:04:04,500] (13字) 反而策劃了名垂青史的大反擊
082. [00:04:04,500 -> 00:04:08,000] (10字) 簡直是法律特洛伊木馬
083. [00:04:08,000 -> 00:04:11,500] (12字) 他們發現法律有個超扯漏洞
084. [00:04:11,500 -> 00:04:15,000] (11字) 程式碼存在磁片裡叫軍火
085. [00:04:15,000 -> 00:04:18,000] (11字) 但印在紙上就受憲法保護
086. [00:04:18,000 -> 00:04:21,500] (11字) 享有言論自由的絕對權利
087. [00:04:21,500 -> 00:04:25,500] (14字) 所以他們直接把 PGP 代碼
088. [00:04:25,500 -> 00:04:28,000] (11字) 印成六千頁的巨大實體書
089. [00:04:28,000 -> 00:04:30,420] (11字) 堂堂正正走進郵局寄出國
090. [00:04:30,420 -> 00:04:34,000] (10字) 海關在旁邊氣到牙癢癢
091. [00:04:34,000 -> 00:04:37,500] (10字) 只能眼睜睜看國外駭客
092. [00:04:37,500 -> 00:04:41,000] (11字) 收到書後掃描還原出軟體
093. [00:04:41,000 -> 00:04:44,500] (15字) 這場荒唐鬧劇在 1996 落幕
094. [00:04:44,500 -> 00:04:48,000] (12字) 在龐大輿論壓力下政府投降
095. [00:04:48,000 -> 00:04:52,000] (12字) 聯邦法院作出了歷史性裁決
096. [00:04:52,000 -> 00:04:55,500] (12字) 確立了《代碼即言論》觀念
097. [00:04:55,500 -> 00:04:59,740] (13字) 程式碼就是人類交流思想語言
098. [00:04:59,740 -> 00:05:03,000] (11字) 理所當然受憲法最高保護
099. [00:05:03,000 -> 00:05:06,500] (11字) 這群只懂數學的電腦阿宅
100. [00:05:06,500 -> 00:05:10,500] (12字) 真的在法庭上漂亮地擊敗了
101. [00:05:10,500 -> 00:05:15,000] (11字) 擁有飛彈航母的美國軍方
102. [00:05:15,000 -> 00:05:18,500] (11字) 這場大勝就像一劑強心針
103. [00:05:18,500 -> 00:05:22,000] (11字) 徹底點燃了地下激進團體
104. [00:05:22,000 -> 00:05:25,500] (13字) 一個叫作《密碼龐克》的組織
105. [00:05:25,500 -> 00:05:29,000] (13字) 對他們來說，隱私是基本人權
106. [00:05:29,000 -> 00:05:32,500] (12字) 而不是政府施捨給你的恩惠
107. [00:05:32,500 -> 00:05:35,500] (09字) 這群人的名言就是：
108. [00:05:35,500 -> 00:05:39,000] (11字) 《密碼龐克動手寫代碼》
109. [00:05:39,000 -> 00:05:42,500] (13字) 更關鍵的是，他們看透了一點
110. [00:05:42,500 -> 00:05:46,000] (11字) 在數位時代，如果你的錢
111. [00:05:46,000 -> 00:05:49,500] (10字) 隨時能被監控甚至凍結
112. [00:05:49,500 -> 00:05:53,000] (11字) 那你所謂的自由就是笑話
113. [00:05:53,000 -> 00:05:56,500] (11字) 為了自由，要把加密技術
114. [00:05:56,500 -> 00:05:59,720] (09字) 直接應用在金錢上面
115. [00:05:59,720 -> 00:06:03,000] (12字) 但要創造出真正的數位現金
116. [00:06:03,000 -> 00:06:06,500] (13字) 必須先打倒計算機界的大魔王
117. [00:06:06,500 -> 00:06:10,000] (11字) 那就是「雙重支付問題」
118. [00:06:10,000 -> 00:06:13,500] (12字) 現實中我遞給你一百塊鈔票
119. [00:06:13,500 -> 00:06:16,500] (10字) 我手裡就沒了，對吧？
120. [00:06:16,500 -> 00:06:20,000] (11字) 但在數位世界裡全是檔案
121. [00:06:20,000 -> 00:06:23,500] (13字) 複製貼上跟拷貝歌曲一樣簡單
122. [00:06:23,500 -> 00:06:27,000] (12字) 若沒有中心化銀行幫忙記帳
123. [00:06:27,000 -> 00:06:31,000] (14字) 怎麼阻止有人把錢複製花兩次？
124. [00:06:31,000 -> 00:06:34,500] (13字) 為了解開這個看似無解的死結
125. [00:06:34,500 -> 00:06:38,000] (13字) 接下來上演了三十年的接力賽
126. [00:06:38,000 -> 00:06:41,500] (15字) 從 1982 年提出盲簽名技術
127. [00:06:41,500 -> 00:06:43,800] (11字) 最後因太依賴中央伺服器
128. [00:06:43,800 -> 00:06:46,500] (15字) 而宣告破產的 DigiCash
129. [00:06:46,500 -> 00:06:49,500] (15字) 到 1997 年發明工作量證明
130. [00:06:49,500 -> 00:06:52,500] (18字) 用算力模擬稀缺性的 Hashcash
131. [00:06:52,500 -> 00:06:55,500] (11字) 再到 1998 年提出
132. [00:06:55,500 -> 00:06:58,500] (16字) 分散式帳本概念的 B-money
133. [00:06:58,500 -> 00:07:01,500] (11字) 無數密碼學天才前仆後繼
134. [00:07:01,500 -> 00:07:04,500] (12字) 丟出了各種讓人驚豔的點子
135. [00:07:04,500 -> 00:07:08,000] (12字) 但每次就差了最後一塊拼圖
136. [00:07:08,000 -> 00:07:12,000] (10字) 接著這場行動的最高潮
137. [00:07:12,000 -> 00:07:16,000] (12字) 在最具戲劇性的時刻降臨了
138. [00:07:16,000 -> 00:07:19,500] (10字) 2008 年的萬聖節
139. [00:07:19,500 -> 00:07:23,000] (11字) 那時候正是雷曼兄弟倒閉
140. [00:07:23,000 -> 00:07:27,000] (12字) 全球金融體系瀕臨崩潰之際
141. [00:07:27,000 -> 00:07:31,000] (12字) 就在世界亂成一鍋粥的時候
142. [00:07:31,000 -> 00:07:35,000] (12字) 一個自稱中本聰的匿名幽靈
143. [00:07:35,000 -> 00:07:38,500] (12字) 彷彿從空氣中直接冒了出來
144. [00:07:38,500 -> 00:07:42,500] (09字) 在密碼學郵件群組裡
145. [00:07:42,500 -> 00:07:46,500] (12字) 丟出一份短短九頁的白皮書
146. [00:07:46,500 -> 00:07:51,000] (11字) 這絕對是歷史上最帥氣的
147. [00:07:51,000 -> 00:07:55,000] (08字) 一次丟麥克風時刻
148. [00:07:55,000 -> 00:07:59,500] (12字) 這份白皮書展示了神級巧思
149. [00:07:59,500 -> 00:08:03,500] (11字) 中本聰沒有發明全新公式
150. [00:08:03,500 -> 00:08:07,500] (13字) 相反地，他像登峰造極的大廚
151. [00:08:07,500 -> 00:08:12,000] (12字) 把三十年頂級食材全部湊齊
152. [00:08:12,000 -> 00:08:15,500] (11字) 用非對稱金鑰做錢包簽名
153. [00:08:15,500 -> 00:08:19,000] (16字) 用 Hashcash 做挖礦防禦
154. [00:08:19,000 -> 00:08:22,500] (17字) 再用 B-money 做去中心帳本
155. [00:08:22,500 -> 00:08:26,500] (12字) 把這些元素完美融合在一起
156. [00:08:26,500 -> 00:08:30,500] (12字) 端出名叫比特幣的終極大菜
157. [00:08:30,500 -> 00:08:34,500] (11字) 徹底解決了雙重支付問題
158. [00:08:34,500 -> 00:08:37,500] (12字) 時間來到 2009 年初
159. [00:08:37,500 -> 00:08:41,000] (14字) 1 月 3 日創世區塊誕生時
160. [00:08:41,000 -> 00:08:45,000] (13字) 中本聰幹了一件浪漫的龐克事
161. [00:08:45,000 -> 00:08:48,500] (14字) 他把英國《泰晤士報》頭版標題
162. [00:08:48,500 -> 00:08:51,500] (09字) 「財政大臣正處於」
163. [00:08:51,500 -> 00:08:55,000] (13字) 「實施第二輪銀行紓困邊緣」
164. [00:08:55,000 -> 00:08:58,500] (10字) 永遠寫死在程式碼裡面
165. [00:08:58,500 -> 00:09:02,000] (13字) 這可不只是做個時間戳記而已
166. [00:09:02,000 -> 00:09:06,000] (09字) 在很多密碼龐克眼裡
167. [00:09:06,000 -> 00:09:09,500] (12字) 這根本是嘲諷值拉滿的戰書
168. [00:09:09,500 -> 00:09:13,000] (12字) 代表不受人控制的數學貨幣
169. [00:09:13,000 -> 00:09:17,000] (12字) 正式向傳統金融體系宣戰了
170. [00:09:17,000 -> 00:09:20,500] (11字) 而比特幣之所以堅不可摧
171. [00:09:20,500 -> 00:09:24,000] (12字) 全靠一個看似不起眼的數字
172. [00:09:24,000 -> 00:09:27,000] (14字) 也就是 2 的 256 次方
173. [00:09:27,000 -> 00:09:31,000] (13字) 你的比特幣錢包被私鑰保護著
174. [00:09:31,000 -> 00:09:34,000] (12字) 這把私鑰的隨機組合可能性
175. [00:09:34,000 -> 00:09:37,000] (15字) 剛好就是 2 的 256 次方
176. [00:09:37,000 -> 00:09:40,000] (13字) 各位，你知道這有多誇張嗎？
177. [00:09:40,000 -> 00:09:43,500] (10字) 這數字比可觀測宇宙裡
178. [00:09:43,500 -> 00:09:47,000] (13字) 所有原子總數加起來還要龐大
179. [00:09:47,000 -> 00:09:50,500] (11字) 只要你好好保管這把私鑰
180. [00:09:50,500 -> 00:09:54,500] (15字) 這就是連神仙也破不了的終極大門
181. [00:09:54,500 -> 00:09:58,000] (12字) 回顧這場橫跨三十年的大戰
182. [00:09:58,000 -> 00:10:01,500] (14字) 可以看到密碼龐克的三大法則：
183. [00:10:01,500 -> 00:10:04,500] (08字) 第一，代碼即法律
184. [00:10:04,500 -> 00:10:07,500] (15字) 演算法不貪污，1加1永遠等於2
185. [00:10:07,500 -> 00:10:11,500] (10字) 第二，隱私是基本人權
186. [00:10:11,500 -> 00:10:15,000] (12字) 必須用密碼學銅牆鐵壁捍衛
187. [00:10:15,000 -> 00:10:18,500] (13字) 第三，數學是人類最後避難所
188. [00:10:18,500 -> 00:10:22,500] (13字) 只要財富思想由數學定律守護
189. [00:10:22,500 -> 00:10:26,000] (14字) 就沒機構能沒收財產或審查言論
190. [00:10:26,000 -> 00:10:29,500] (08字) 這位是哈爾·芬尼
191. [00:10:29,500 -> 00:10:33,000] (11字) 他是傳奇的密碼龐克元老
192. [00:10:33,000 -> 00:10:37,000] (13字) 也是首位接收比特幣轉帳的人
193. [00:10:37,000 -> 00:10:40,500] (12字) 在他不幸罹患漸凍症離世前
194. [00:10:40,500 -> 00:10:44,000] (12字) 他曾留下過一段動人的話：
195. [00:10:44,000 -> 00:10:47,500] (14字) 「我們做的工作不是為投機賺錢
196. [00:10:47,500 -> 00:10:52,000] (15字) 而是為給未來世代留下一份尊嚴」
197. [00:10:52,000 -> 00:10:55,500] (10字) 這句話為這場看似荒謬
198. [00:10:55,500 -> 00:10:59,500] (13字) 卻充滿理想色彩的三十年抗爭
199. [00:10:59,500 -> 00:11:03,000] (10字) 下了一個最完美的註腳
200. [00:11:03,000 -> 00:11:06,500] (14字) 今天回顧這段從 T 恤軍火案
201. [00:11:06,500 -> 00:11:10,000] (14字) 一路走至比特幣誕生的瘋狂歷史
202. [00:11:10,000 -> 00:11:13,500] (14字) 其實為我們拋出了核心思考題：
203. [00:11:13,500 -> 00:11:17,000] (13字) 在這個越來越數位化的未來裡
204. [00:11:17,000 -> 00:11:20,500] (12字) 你究竟會選擇把人生與信任
205. [00:11:20,500 -> 00:11:24,000] (15字) 託付給可能腐敗出錯的管理機構？
206. [00:11:24,000 -> 00:11:28,000] (16字) 還是傾向相信牢不可破的數學定律？
207. [00:11:28,000 -> 00:11:32,000] (11字) 所建立的演算法規則呢？
208. [00:11:32,000 -> 00:11:35,500] (07字) 這個問題的答案
209. [00:11:35,500 -> 00:11:38,500] (14字) 或許真的將決定我們未來的模樣
210. [00:11:38,500 -> 00:11:42,400] (16字) 今天的解析就到這邊，我們下次見！
